,pack,level_id,question,question_r,solution_r,solution_nl,solution_tool,solution_symbol,initial_symbol
50,Epsilon,https://euclidea.fandom.com/wiki/Circumscribed_Square,"Description: Circumscribe a square about the circle. Two of its sides should be parallel to the given line.Let O be the center of the given circle.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","Description: Circumscribe a square about the circle. Two of its sides should be parallel to the given line.Let O be the center of the given circle.
Solution: ","Construct the perpendicular to the line through O, intersecting the circle at A and B
Construct the perpendicular to AB from A
Construct the perpendicular to AB from B
Construct the circle with center A and radius OA, intersecting the perpendicular to AB from A at C and D
Construct the perpendicular to CD from C
Construct the perpendicular to CD from D (total 16E)
Rationale: To have sides parallel with the given line, it is necessary to start with the diameter of the circle that is perpendicular to that line.  From there, minimizing the number of E moves in the 6L solution prefers the use of further perpendiculars rather than the parallel tool, and circle A rather than a perpendicular through the center of the circle to find useful points for constructing the two sides.
","<Perpendicular Tool>Construct the perpendicular to the line through O, intersecting the circle at A and B
<Perpendicular Tool>Construct the perpendicular to AB from A
<Perpendicular Tool>Construct the perpendicular to AB from B
<Circle Tool>Construct the circle with center A and radius OA, intersecting the perpendicular to AB from A at C and D
<Perpendicular Tool>Construct the perpendicular to CD from C
<Perpendicular Tool>Construct the perpendicular to CD from D (total 16E)","['Perpendicular Tool', 'Perpendicular Tool', 'Perpendicular Tool', 'Circle Tool', 'Perpendicular Tool', 'Perpendicular Tool']","[['O'], ['B', 'A'], ['AB'], [], ['C', 'OA', 'D'], ['CD'], []]",['O']
51,Epsilon,https://euclidea.fandom.com/wiki/Square_in_Square,"Description: Inscribe a square in the square. A vertex is given.Given the square ABCD and E the given vertex.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","Description: Inscribe a square in the square. A vertex is given.Given the square ABCD and E the given vertex.
Solution: ","Construct the circle with center A and radius AE, intersecting AD at F
Construct the perpendicular to AD through F, intersecting BC at G
Construct line EG
Construct the perpendicular to EG from E, intersecting AD at H
Construct the perpendicular to EG from G, intersecting CD at I
Construct the line HI (total 12E)
Rationale: Each vertex of the inscribed square has the same offset from the corresponding vertex of the original square; or put another way, the four triangles around the inscribed square are similar.  The 6L solution favors a 90° rotation of E to F at vertex A, followed by translating it to side BC (since ABCD is a square, a perpendicular to AD is parallel to AB, and ABGF is a rectangle).  From there, the other sides of the square can be obtained by perpendiculars or by connecting points.
","<Circle Tool>Construct the circle with center A and radius AE, intersecting AD at F
<Perpendicular Tool>Construct the perpendicular to AD through F, intersecting BC at G
<Line Tool>Construct line EG
<Perpendicular Tool>Construct the perpendicular to EG from E, intersecting AD at H
<Perpendicular Tool>Construct the perpendicular to EG from G, intersecting CD at I
<Line Tool>Construct the line HI (total 12E)","['Circle Tool', 'Perpendicular Tool', 'Line Tool', 'Perpendicular Tool', 'Perpendicular Tool', 'Line Tool']","[['A', 'ABCD', 'E'], ['AD', 'AE', 'F'], ['G', 'BC'], ['EG'], ['H'], ['I', 'CD'], ['HI']]","['A', 'ABCD', 'E']"
52,Epsilon,https://euclidea.fandom.com/wiki/Circle_Tangent_to_Square_Side,"Description: Construct a circle that is tangent to a side of the square and goes through the vertices of the opposite side.Given the square ABCD (AB on the bottom for the solution to match the hint mode orientation)
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","Description: Construct a circle that is tangent to a side of the square and goes through the vertices of the opposite side.Given the square ABCD (AB on the bottom for the solution to match the hint mode orientation)
Solution: ","Construct the perpendicular bisector of AB, intersecting CD at E and AB at F
Construct the perpendicular bisector of AE, intersecting EF at G
Construct the circle with center G and radius AG (or EG)
Rationale: Consider point A at coordinate (0, 0) and B at (8, 0), such that AB is length 8.  The perpendicular bisector of AB then forms point E along CD at coordinate (4, 8) and F along AB at (0, 8).  The length AF is thus 4; if we can find the point G along EF such that FG is 3 units away from line AB [that is, at coordinate (4, 3)], it will form a 3-4-5 Egyptian right triangle, where AG is then 5 units.  And by subtraction from EF, the length of EG is 5 units, putting point G 5 units away from line CD.  Thus, a circle of radius 5 from point G is tangent to CD and crosses through A and B.  To find point G, consider that the slope of AE is 8:4, so its perpendicular bisector has a slope -4:8 or -1:2.  Line AE crosses its perpendicular bisector at point (2, 4), and that bisector then crosses EF at point (4, 3), giving the desired point G at the center of the circle.
","<Perpendicular Tool>Construct the perpendicular bisector of AB, intersecting CD at E and AB at F
<Perpendicular Tool>Construct the perpendicular bisector of AE, intersecting EF at G
<Circle Tool>Construct the circle with center G and radius AG (or EG)","['Perpendicular Tool', 'Perpendicular Tool', 'Circle Tool']","[['ABCD', 'AB'], ['E', 'CD', 'F'], ['G', 'AE', 'EF'], ['AG', 'EG']]","['ABCD', 'AB']"
53,Epsilon,https://euclidea.fandom.com/wiki/Regular_Hexagon,"Description: Construct a regular hexagon with the given side.Given the side AB.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","Description: Construct a regular hexagon with the given side.Given the side AB.
Solution: ","Construct the circle with center A and radius AB
Construct the circle with center B and radius AB, intersecting circle A at C and D (C below AB to match the orientation of explore mode)
Construct line AC, intersecting circle A at E
Construct line BC, intersecting circle B at F
Construct the parallel to AC through F
Construct the parallel to BC through E, intersecting the the parallel to AC at G
Construct the perpendicular bisector of DG (total 15E)
Rationale: The internal angle at each vertex of a regular hexagon is 120°.  Both solutions start by constructing equilateral triangle ABC to establish a 60° external angle below AB, which in turn gives the desired 120° angle for isosceles triangles BAE and ABF forming the second and third sides of the hexagon.  From there, the 7L solution minimizes moves by directly constructing the remaining sides: the fourth and fifth are easy because a vertex is already present and opposite sides are parallel (the angle bisector tool can be used instead of the parallel tool, but with no difference in E-cost). The final side has no starting vertex, but it can be observed that EFG is an equilateral triangle with sides twice as long as AB, with D at the midpoint of its base, and therefore the perpendicular bisector of DG gives the remaining side.
","<Circle Tool>Construct the circle with center A and radius AB
<Circle Tool>Construct the circle with center B and radius AB, intersecting circle A at C and D (C below AB to match the orientation of explore mode)
<Line Tool>Construct line AC, intersecting circle A at E
<Line Tool>Construct line BC, intersecting circle B at F
<Parallel Tool>Construct the parallel to AC through F
<Parallel Tool>Construct the parallel to BC through E, intersecting the the parallel to AC at G
<Perpendicular Tool>Construct the perpendicular bisector of DG (total 15E)","['Circle Tool', 'Circle Tool', 'Line Tool', 'Line Tool', 'Parallel Tool', 'Parallel Tool', 'Perpendicular Tool']","[['AB'], ['A'], ['B', 'C', 'D'], ['AC', 'E'], ['BC', 'F'], [], ['G'], ['DG']]",['AB']
54,Zeta,https://euclidea.fandom.com/wiki/Point_Reflection,"Description: Reflect the segment across the point.Given the segment AB and O the point.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","Description: Reflect the segment across the point.Given the segment AB and O the point.
Solution: ","Construct line AO
Construct the circle with center O and radius AO, intersecting AO at C
Construct the parallel to AB through C
Construct line BO, intersecting the parallel to AB at D
Point at D
Rationale: None","<Line Tool>Construct line AO
<Circle Tool>Construct the circle with center O and radius AO, intersecting AO at C
<Parallel Tool>Construct the parallel to AB through C
<Line Tool>Construct line BO, intersecting the parallel to AB at D
<Point Tool>Point at D","['Line Tool', 'Circle Tool', 'Parallel Tool', 'Line Tool', 'Point Tool']","[['AB', 'O'], ['AO'], ['C'], [], ['BO', 'D'], []]","['AB', 'O']"
55,Zeta,https://euclidea.fandom.com/wiki/Reflection,"Description: Reflect the segment across the line.Given the segment AB.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","Description: Reflect the segment across the line.Given the segment AB.
Solution: ","Construct a circle with an arbitrary center C on the line and radius AC
Construct a circle with another arbitrary center D on the line and radius AD, intersecting circle C at E
Construct a circle with an arbitrary center F on the line and radius BF
Construct a circle with another arbitrary center G on the line and radius BG, intersecting circle F at H
Construct line EH
Rationale: None","<Line Tool>Construct a circle with an arbitrary center C on the line and radius AC
<Line Tool>Construct a circle with another arbitrary center D on the line and radius AD, intersecting circle C at E
<Line Tool>Construct a circle with an arbitrary center F on the line and radius BF
<Line Tool>Construct a circle with another arbitrary center G on the line and radius BG, intersecting circle F at H
<Line Tool>Construct line EH","['Line Tool', 'Line Tool', 'Line Tool', 'Line Tool', 'Line Tool']","[['AB'], ['AC', 'C'], ['E', 'D', 'AD'], ['BF', 'F'], ['G', 'BG', 'H'], ['EH']]",['AB']
56,Zeta,https://euclidea.fandom.com/wiki/Copy_Segment,"Description: Construct a segment from the given point that is equal to the given segment and lies on the same line with it.Given the segment AB and the point C.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","Description: Construct a segment from the given point that is equal to the given segment and lies on the same line with it.Given the segment AB and the point C.
Solution: ","Construct line AC
Construct the perpendicular bisector of AC, intersecting AC at D
Construct the circle with center D and radius BD, intersecting AC at E
Point at E
Rationale: None","<Line Tool>Construct line AC
<Perpendicular Tool>Construct the perpendicular bisector of AC, intersecting AC at D
<Circle Tool>Construct the circle with center D and radius BD, intersecting AC at E
<Point Tool>Point at E","['Line Tool', 'Perpendicular Tool', 'Circle Tool', 'Point Tool']","[['AB', 'C'], ['AC'], ['D'], ['E', 'BD'], []]","['AB', 'C']"
57,Zeta,https://euclidea.fandom.com/wiki/Given_Angle_Bisector,"Description: Construct two straight lines through the two given points respectively so that the given line is a bisector of the angle that they make.Let A and B be the given points.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","Description: Construct two straight lines through the two given points respectively so that the given line is a bisector of the angle that they make.Let A and B be the given points.
Solution: ","Construct a circle with an arbitrary center C on the line and radius AC
Construct a circle with another arbitrary center D on the line and radius AD, intersecting circle C at E
Construct line BE, intersecting the line at F
Construct line AF
Rationale: Label the points A and B. Reflect A across the line to make A'. The line A'B is a reflection of AB.
","<Line Tool>Construct a circle with an arbitrary center C on the line and radius AC
<Line Tool>Construct a circle with another arbitrary center D on the line and radius AD, intersecting circle C at E
<Line Tool>Construct line BE, intersecting the line at F
<Line Tool>Construct line AF","['Line Tool', 'Line Tool', 'Line Tool', 'Line Tool']","[['A', 'B'], ['AC', 'C'], ['E', 'D', 'AD'], ['BE', 'F'], ['AF']]","['A', 'B']"
58,Zeta,https://euclidea.fandom.com/wiki/Non-collapsing_Compass,"Description: Construct a circle with the given center and the radius equal to the length of the given segment.Given the segment AB and the point C.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","Description: Construct a circle with the given center and the radius equal to the length of the given segment.Given the segment AB and the point C.
Solution: ","Construct the perpendicular bisector of A and C.
Construct the circle with center arbitrary point D on the perpendicular bisector of A and C and with radius DB.
Construct the circle with center arbitrary point E on the perpendicular bisector of A and C and with radius EB, intersecting circle D at F.
Construct the circle with center C and radius CF. (6E)
Rationale: None","<Perpendicular Tool>Construct the perpendicular bisector of A and C.
<Perpendicular Tool>Construct the circle with center arbitrary point D on the perpendicular bisector of A and C and with radius DB.
<Perpendicular Tool>Construct the circle with center arbitrary point E on the perpendicular bisector of A and C and with radius EB, intersecting circle D at F.
<Circle Tool>Construct the circle with center C and radius CF. (6E)","['Perpendicular Tool', 'Perpendicular Tool', 'Perpendicular Tool', 'Circle Tool']","[['AB', 'C'], ['A'], ['DB', 'D'], ['E', 'EB', 'F'], ['CF']]","['AB', 'C']"
59,Zeta,https://euclidea.fandom.com/wiki/Compass_Tool,"Description: You have discovered the Non-collapsing Compass tool. Click on two points to set the radius length, then on the center of the circle.
Tool List: ['Compass Tool']
Solution: ","Description: You have discovered the Non-collapsing Compass tool. Click on two points to set the radius length, then on the center of the circle.
Solution: ","With the compass tool active, click on one endpoint of the segment, then another endpoint of the segment, then on the destination point.
Rationale: The compass tool works by selecting an initial radius (either click on the two points of the segment, or click-and-hold on one point of the segment and release on the second), followed by selecting a destination center with another click.  The tool visualizes the size of the circle before it lands in its final location, then adds dashed line decorations indicating the two parallel and equivalent-length radii used between the original two points and the destination circle.  Note that the decorations cannot be used as a target by other tools if they do not overlay an already-existing line.  The two original points do not have to lie on a circle, and Euclidea does not allow the destination point to be either of the two source points (even if it did, using the Circle Tool would be a less expensive alternative).  When copying an existing circle, it does not matter whether the first point is the center or on the circumference, as the selected radius will be the same either way for the destination center.
","<Compass Tool>With the compass tool active, click on one endpoint of the segment, then another endpoint of the segment, then on the destination point.",['Compass Tool'],"[[], []]",[]
60,Zeta,https://euclidea.fandom.com/wiki/Translate_Segment,"Description: Construct a segment from the given point parallel and equal to the given segment.Given the segment AB and the point C.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a segment from the given point parallel and equal to the given segment.Given the segment AB and the point C.
Solution: ","Use the non-collapsing compass to construct the circle with radius AB and center C
Construct the parallel to AB through C, intersecting the circle at two points
Use the intersect tool on the circle and parallel line to select both points at once
Rationale: None","<Circle Tool>Use the non-collapsing compass to construct the circle with radius AB and center C
<Parallel Tool>Construct the parallel to AB through C, intersecting the circle at two points
<Line Tool>Use the intersect tool on the circle and parallel line to select both points at once","['Circle Tool', 'Parallel Tool', 'Line Tool']","[['AB', 'C'], [], [], []]","['AB', 'C']"
61,Zeta,https://euclidea.fandom.com/wiki/Triangle_by_Three_Sides,"Description: Construct a triangle with the side AB and the two other sides equal to the given segments.Given the other segments CD and EF.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a triangle with the side AB and the two other sides equal to the given segments.Given the other segments CD and EF.
Solution: ","Use the non-collapsing compass to construct the circle with radius CD and center A
Use the non-collapsing compass to construct the circle with radius EF and center B, intersecting circle A at G and H
Construct line AG
Construct line BG
Rationale: None","<Circle Tool>Use the non-collapsing compass to construct the circle with radius CD and center A
<Circle Tool>Use the non-collapsing compass to construct the circle with radius EF and center B, intersecting circle A at G and H
<Line Tool>Construct line AG
<Line Tool>Construct line BG","['Circle Tool', 'Circle Tool', 'Line Tool', 'Line Tool']","[['AB', 'CD', 'EF'], ['A'], ['B', 'G', 'H'], ['AG'], ['BG']]","['AB', 'CD', 'EF']"
62,Zeta,https://euclidea.fandom.com/wiki/Parallelogram,"Description: Construct a parallelogram with the given side and the midpoint of the opposite side in the given point.Given the segment AB and the point C.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a parallelogram with the given side and the midpoint of the opposite side in the given point.Given the segment AB and the point C.
Solution: ","Construct the perpendicular bisector of AB, intersecting AB at D
Use the non-collapsing compass to construct the circle with radius AD and center C
Construct the parallel to AB through C, intersecting circle C at E and F
Construct line AE
Construct line BF
Rationale: None","<Perpendicular Tool>Construct the perpendicular bisector of AB, intersecting AB at D
<Circle Tool>Use the non-collapsing compass to construct the circle with radius AD and center C
<Parallel Tool>Construct the parallel to AB through C, intersecting circle C at E and F
<Line Tool>Construct line AE
<Line Tool>Construct line BF","['Perpendicular Tool', 'Circle Tool', 'Parallel Tool', 'Line Tool', 'Line Tool']","[['AB', 'C'], ['D'], ['AD'], ['E', 'F'], ['AE'], ['BF']]","['AB', 'C']"
63,Zeta,https://euclidea.fandom.com/wiki/Nine_Point_Circle,"Description: Construct a circle that passes through the midpoints of sides of the given acute triangle.Given the triangle ABC.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a circle that passes through the midpoints of sides of the given acute triangle.Given the triangle ABC.
Solution: ","Construct the perpendicular to AB through C, intersecting AB at D
Construct the perpendicular to BC through A, intersecting BC at E
Construct the perpendicular bisector of DE, intersecting AC at F
Construct the perpendicular bisector of DF, intersecting the perpendicular bisector of DE at G
Construct the circle with center G and radius DG
Rationale: None","<Perpendicular Tool>Construct the perpendicular to AB through C, intersecting AB at D
<Perpendicular Tool>Construct the perpendicular to BC through A, intersecting BC at E
<Perpendicular Tool>Construct the perpendicular bisector of DE, intersecting AC at F
<Perpendicular Tool>Construct the perpendicular bisector of DF, intersecting the perpendicular bisector of DE at G
<Circle Tool>Construct the circle with center G and radius DG","['Perpendicular Tool', 'Perpendicular Tool', 'Perpendicular Tool', 'Perpendicular Tool', 'Circle Tool']","[['ABC'], ['AB', 'C', 'D'], ['E', 'A', 'BC'], ['AC', 'DE', 'F'], ['DF', 'G'], ['DG']]",['ABC']
64,Zeta,https://euclidea.fandom.com/wiki/Symmetry_of_Four_Lines,"Description: Three lines are intersected in a point. Construct a line so that the set of all 4 lines is mirror symmetric.Let O be the intersection of the three lines.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Three lines are intersected in a point. Construct a line so that the set of all 4 lines is mirror symmetric.Let O be the intersection of the three lines.
Solution: ","Construct a circle with center O and an arbitrary radius, intersecting the lines at six points; let A, B and C be a set of three consecutive points
Use the non-collapsing compass to construct the circle with radius AB and center C, intersecting circle O at D and E
Construct line OD
Rationale: None","<Circle Tool>Construct a circle with center O and an arbitrary radius, intersecting the lines at six points; let A, B and C be a set of three consecutive points
<Circle Tool>Use the non-collapsing compass to construct the circle with radius AB and center C, intersecting circle O at D and E
<Line Tool>Construct line OD","['Circle Tool', 'Circle Tool', 'Line Tool']","[['O'], ['B', 'C', 'A'], ['E', 'AB', 'D'], ['OD']]",['O']
65,Zeta,https://euclidea.fandom.com/wiki/Parallelogram_by_Three_Midpoints,"Description: Construct a parallelogram given three of the midpoints.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a parallelogram given three of the midpoints.
Solution: ","Use the non-collapsing compass to construct the circle with radius AC and center B
Use the non-collapsing compass to construct the circle with radius BC and center A, intersecting circle B at D and E, with D on the opposite side of C from AB
Construct line CD
Construct the parallel to CD through A
Construct the parallel to CD through B
Construct line CE, intersecting circle A at F and circle B at G
Construct the parallel to CE through D
Rationale: None","<Circle Tool>Use the non-collapsing compass to construct the circle with radius AC and center B
<Circle Tool>Use the non-collapsing compass to construct the circle with radius BC and center A, intersecting circle B at D and E, with D on the opposite side of C from AB
<Line Tool>Construct line CD
<Parallel Tool>Construct the parallel to CD through A
<Parallel Tool>Construct the parallel to CD through B
<Line Tool>Construct line CE, intersecting circle A at F and circle B at G
<Parallel Tool>Construct the parallel to CE through D","['Circle Tool', 'Circle Tool', 'Line Tool', 'Parallel Tool', 'Parallel Tool', 'Line Tool', 'Parallel Tool']","[[], ['AC', 'B'], ['D', 'E', 'AB', 'C', 'A', 'BC'], ['CD'], [], [], ['CE', 'G', 'F'], []]",[]
66,Eta,https://euclidea.fandom.com/wiki/Sum_of_Areas_of_Squares,"Description: Construct a square whose area equals the sum of the areas of the two given squares and all three have the common angle.Let O be the common vertex of the squares, A the second vertex of one square on one line and B the second vertex of the other square on the other line.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a square whose area equals the sum of the areas of the two given squares and all three have the common angle.Let O be the common vertex of the squares, A the second vertex of one square on one line and B the second vertex of the other square on the other line.
Solution: ","Use the non-collapsing compass to construct the circle with radius AB and center O, intersecting one line at C and the other line at D
Construct the perpendicular to OC from C
Construct the perpendicular to OD from D
Rationale: None","<Circle Tool>Use the non-collapsing compass to construct the circle with radius AB and center O, intersecting one line at C and the other line at D
<Perpendicular Tool>Construct the perpendicular to OC from C
<Perpendicular Tool>Construct the perpendicular to OD from D","['Circle Tool', 'Perpendicular Tool', 'Perpendicular Tool']","[['O', 'A', 'B'], ['AB', 'C', 'D'], ['OC'], ['OD']]","['O', 'A', 'B']"
67,Eta,https://euclidea.fandom.com/wiki/Annulus,"Description: Construct a circle that is concentric with the given one and divides it into 2 parts of equal area.Let O be the center.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a circle that is concentric with the given one and divides it into 2 parts of equal area.Let O be the center.
Solution: ","Construct an arbitrary line through O, intersecting the circle at A
Construct the perpendicular bisector of OA, intersecting at B
Construct the circle with center B and radius OB, intersecting the bisector at C
Construct the circle with center O and radius OC
Rationale: None","<Line Tool>Construct an arbitrary line through O, intersecting the circle at A
<Perpendicular Tool>Construct the perpendicular bisector of OA, intersecting at B
<Circle Tool>Construct the circle with center B and radius OB, intersecting the bisector at C
<Circle Tool>Construct the circle with center O and radius OC","['Line Tool', 'Perpendicular Tool', 'Circle Tool', 'Circle Tool']","[['O'], ['A'], ['B', 'OA'], ['OB', 'C'], ['OC']]",['O']
68,Eta,https://euclidea.fandom.com/wiki/Angle_of_75%C2%B0,"Description: Construct an angle of 75° with the given side.Let A be the initial point of the given ray.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct an angle of 75° with the given side.Let A be the initial point of the given ray.
Solution: ","Construct a circle with an arbitrary center B not on the ray and radius AB, so that it intersects the ray at C and AC<AB
Construct the circle with center C and radius BC, intersecting circle B at D
Construct the angle bisector of  angle CAD
Rationale: None","<Circle Tool>Construct a circle with an arbitrary center B not on the ray and radius AB, so that it intersects the ray at C and AC<AB
<Circle Tool>Construct the circle with center C and radius BC, intersecting circle B at D
<Angle Bisector Tool>Construct the angle bisector of  angle CAD","['Circle Tool', 'Circle Tool', 'Angle Bisector Tool']","[['A'], ['B', 'AB', 'C', 'AC'], ['BC', 'D'], ['CAD']]",['A']
69,Eta,https://euclidea.fandom.com/wiki/Line_Equidistant_from_Three_Points,"Description: Construct a line that is at equal distance from the given three points.Let A, B and C be the given points.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a line that is at equal distance from the given three points.Let A, B and C be the given points.
Solution: ","Construct line AB
Construct the perpendicular to AB through C, intersecting AB at D
Construct the perpendicular bisector of CD
Rationale: None","<Line Tool>Construct line AB
<Perpendicular Tool>Construct the perpendicular to AB through C, intersecting AB at D
<Perpendicular Tool>Construct the perpendicular bisector of CD","['Line Tool', 'Perpendicular Tool', 'Perpendicular Tool']","[['A', 'B', 'C'], ['AB'], ['D'], ['CD']]","['A', 'B', 'C']"
70,Eta,https://euclidea.fandom.com/wiki/Heron%27s_Problem,"Description: Construct a point C on the given line and segments AC and BC such that the sum of their length is minimal.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct a point C on the given line and segments AC and BC such that the sum of their length is minimal.
Solution: ","Construct a circle with an arbitrary center D on the line and radius AD
Construct a circle with an arbitrary center E on the line and radius AE, intersecting circle D at F
Construct line BF, intersecting the line at C
Construct line AC
Rationale: Consider the given line as a mirror.  Once A is reflected across the line to F, the shortest distance is then a straight line which hits the mirror at C.
","<Line Tool>Construct a circle with an arbitrary center D on the line and radius AD
<Line Tool>Construct a circle with an arbitrary center E on the line and radius AE, intersecting circle D at F
<Line Tool>Construct line BF, intersecting the line at C
<Line Tool>Construct line AC","['Line Tool', 'Line Tool', 'Line Tool', 'Line Tool']","[['C', 'AC', 'BC'], ['D', 'AD'], ['E', 'AE', 'F'], ['BF'], []]","['C', 'AC', 'BC']"
71,Eta,https://euclidea.fandom.com/wiki/Circumscribed_Circle,"Description: Construct the circumcircle of the triangle.Given the triangle ABC
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct the circumcircle of the triangle.Given the triangle ABC
Solution: ","Construct the perpendicular bisector of AB
Construct the perpendicular bisector of BC, intersecting the perpendicular bisector of AB at D
Construct the circle with center D and radius AD
Rationale: None","<Perpendicular Tool>Construct the perpendicular bisector of AB
<Perpendicular Tool>Construct the perpendicular bisector of BC, intersecting the perpendicular bisector of AB at D
<Circle Tool>Construct the circle with center D and radius AD","['Perpendicular Tool', 'Perpendicular Tool', 'Circle Tool']","[['ABC'], ['AB'], ['BC', 'D'], ['AD']]",['ABC']
72,Eta,https://euclidea.fandom.com/wiki/Inscribed_Circle,"Description: Construct the incircle of the triangle.Given the triangle ABC
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","Description: Construct the incircle of the triangle.Given the triangle ABC
Solution: ","Construct the angle bisector of  angle CAB
Construct the angle bisector of  angle ABC, intersecting the angle bisector of  angle CAB at D
Construct the perpendicular to AB through D, intersecting AB at E
Construct the circle with center D and radius DE
Rationale: First let's review steps 1-2. Let's construct these two circles and 2 angle bisectors for clarity (we don't need them in solution, only for explanation). We want to prove that BK = EK.
","<Angle Bisector Tool>Construct the angle bisector of  angle CAB
<Angle Bisector Tool>Construct the angle bisector of  angle ABC, intersecting the angle bisector of  angle CAB at D
<Perpendicular Tool>Construct the perpendicular to AB through D, intersecting AB at E
<Circle Tool>Construct the circle with center D and radius DE","['Angle Bisector Tool', 'Angle Bisector Tool', 'Perpendicular Tool', 'Circle Tool']","[['ABC'], ['CAB'], ['D'], ['AB', 'E'], ['DE']]",['ABC']
